#Daily temperature data from Little Rock, AR from NOAA database (2000-2022).
2000-01-01	66	34	50
2000-01-02	75	54	64.5
2000-01-03	74	48	61
2000-01-04	51	32	41.5
2000-01-05	45	24	34.5
2000-01-06	59	25	42
2000-01-07	58	33	45.5
2000-01-08	48	42	45
2000-01-09	60	46	53
2000-01-10	70	37	53.5
2000-01-11	61	34	47.5
2000-01-12	76	37	56.5
2000-01-13	67	40	53.5
2000-01-14	45	28	36.5
2000-01-15	62	30	46
2000-01-16	66	51	58.5
2000-01-17	62	45	53.5
2000-01-18	57	42	49.5
2000-01-19	49	40	44.5
2000-01-20	51	30	40.5
2000-01-21	45	24	34.5
2000-01-22	41	38	39.5
2000-01-23	47	38	42.5
2000-01-24	39	29	34
2000-01-25	43	24	33.5
2000-01-26	33	23	28
2000-01-27	31	26	28.5
2000-01-28	29	25	27
2000-01-29	35	24	29.5
2000-01-30	40	20	30
2000-01-31	38	20	29
2000-02-01	51	24	37.5
2000-02-02	44	24	34
2000-02-03	64	31	47.5
2000-02-04	48	30	39
2000-02-05	45	23	34
2000-02-06	56	23	39.5
2000-02-07	66	36	51
2000-02-08	57	37	47
2000-02-09	69	32	50.5
2000-02-10	69	50	59.5
2000-02-11	54	40	47
2000-02-12	48	38	43
2000-02-13	71	43	57
2000-02-14	57	39	48
2000-02-15	76	35	55.5
2000-02-16	67	47	57
2000-02-17	47	41	44
2000-02-18	75	44	59.5
2000-02-19	49	35	42
2000-02-20	58	29	43.5
2000-02-21	66	39	52.5
2000-02-22	75	43	59
2000-02-23	75	53	64
2000-02-24	76	60	68
2000-02-25	75	63	69
2000-02-26	64	50	57
2000-02-27	64	40	52
2000-02-28	65	39	52
2000-02-29	72	48	60
2000-03-01	69	51	60
2000-03-02	59	48	53.5
2000-03-03	53	45	49
2000-03-04	58	42	50
2000-03-05	62	35	48.5
2000-03-06	74	42	58
2000-03-07	78	49	63.5
2000-03-08	75	63	69
2000-03-09	81	48	64.5
2000-03-10	59	45	52
2000-03-11	49	34	41.5
2000-03-12	54	29	41.5
2000-03-13	63	32	47.5
2000-03-14	69	40	54.5
2000-03-15	63	45	54
2000-03-16	66	49	57.5
2000-03-17	52	44	48
2000-03-18	63	46	54.5
2000-03-19	59	46	52.5
2000-03-20	67	37	52
2000-03-21	64	43	53.5
2000-03-22	68	50	59
2000-03-23	75	51	63
2000-03-24	79	61	70
2000-03-25	75	57	66
2000-03-26	76	54	65
2000-03-27	70	52	61
2000-03-28	74	48	61
2000-03-29	59	49	54
2000-03-30	56	46	51
2000-03-31	67	45	56
2000-04-01	74	48	61
2000-04-02	65	57	61
2000-04-03	64	48	56
2000-04-04	62	40	51
2000-04-05	78	39	58.5
2000-04-06	81	54	67.5
2000-04-07	77	56	66.5
2000-04-08	60	40	50
2000-04-09	67	35	51
2000-04-10	69	49	59
2000-04-11	64	55	59.5
2000-04-12	56	48	52
2000-04-13	63	46	54.5
2000-04-14	63	55	59
2000-04-15	72	54	63
2000-04-16	78	56	67
2000-04-17	71	50	60.5
2000-04-18	77	47	62
2000-04-19	86	59	72.5
2000-04-20	75	59	67
2000-04-21	73	50	61.5
2000-04-22	75	45	60
2000-04-23	71	57	64
2000-04-24	70	54	62
2000-04-25	74	51	62.5
2000-04-26	75	51	63
2000-04-27	79	50	64.5
2000-04-28	76	53	64.5
2000-04-29	81	49	65
2000-04-30	82	55	68.5
2000-05-01	82	61	71.5
2000-05-02	76	58	67
2000-05-03	72	62	67
2000-05-04	70	58	64
2000-05-05	74	58	66
2000-05-06	81	63	72
2000-05-07	88	67	77.5
2000-05-08	88	70	79
2000-05-09	84	59	71.5
2000-05-10	77	52	64.5
2000-05-11	89	68	78.5
2000-05-12	87	69	78
2000-05-13	80	56	68
2000-05-14	74	49	61.5
2000-05-15	72	50	61
2000-05-16	78	56	67
2000-05-17	84	64	74
2000-05-18	87	67	77
2000-05-19	75	65	70
2000-05-20	69	61	65
2000-05-21	78	59	68.5
2000-05-22	87	63	75
2000-05-23	90	72	81
2000-05-24	88	68	78
2000-05-25	82	69	75.5
2000-05-26	87	69	78
2000-05-27	83	67	75
2000-05-28	85	65	75
2000-05-29	89	62	75.5
2000-05-30	90	68	79
2000-05-31	89	68	78.5
2000-06-01	88	69	78.5
2000-06-02	92	69	80.5
2000-06-03	75	67	71
2000-06-04	73	67	70
2000-06-05	79	58	68.5
2000-06-06	75	55	65
2000-06-07	80	53	66.5
2000-06-08	84	55	69.5
2000-06-09	89	60	74.5
2000-06-10	88	68	78
2000-06-11	88	72	80
2000-06-12	87	71	79
2000-06-13	91	68	79.5
2000-06-14	89	70	79.5
2000-06-15	83	68	75.5
2000-06-16	89	73	81
2000-06-17	84	71	77.5
2000-06-18	84	71	77.5
2000-06-19	85	73	79
2000-06-20	88	73	80.5
2000-06-21	77	66	71.5
2000-06-22	86	66	76
2000-06-23	91	71	81
2000-06-24	89	74	81.5
2000-06-25	93	72	82.5
2000-06-26	91	75	83
2000-06-27	87	73	80
2000-06-28	80	69	74.5
2000-06-29	85	68	76.5
2000-06-30	85	69	77
2000-07-01	89	67	78
2000-07-02	93	73	83
2000-07-03	91	73	82
2000-07-04	92	74	83
2000-07-05	93	75	84
2000-07-06	94	73	83.5
2000-07-07	96	74	85
2000-07-08	94	75	84.5
2000-07-09	95	71	83
2000-07-10	95	78	86.5
2000-07-11	96	76	86
2000-07-12	95	75	85
2000-07-13	96	79	87.5
2000-07-14	97	76	86.5
2000-07-15	100	74	87
2000-07-16	100	77	88.5
2000-07-17	98	79	88.5
2000-07-18	99	81	90
2000-07-19	102	77	89.5
2000-07-20	92	71	81.5
2000-07-21	84	69	76.5
2000-07-22	83	68	75.5
2000-07-23	84	67	75.5
2000-07-24	87	64	75.5
2000-07-25	88	61	74.5
